Word,Order,Rank,Band,SFI,U
meaningful,483,483,10,54.942,31
wavelength,484,484,10,54.94,31
diagnose,485,485,10,54.925,31
accent,486,486,10,54.904,31
realm,487,487,10,54.899,31
replication,488,488,10,54.871,31
basin,489,489,10,54.858,31
admission,490,490,10,54.844,31
interestingly,491,491,10,54.84,30
clarify,492,492,10,54.827,30
grid,493,493,10,54.826,30
curriculum,494,494,10,54.807,30
displacement,495,495,10,54.804,30
coherent,496,496,10,54.801,30
standardize,497,497,10,54.795,30
civilization,498,498,10,54.785,30
positively,499,499,10,54.762,30
bacterial,500,500,10,54.733,30
deficiency,501,501,11,54.723,30
legitimate,502,502,11,54.705,30
sophisticate,503,503,11,54.672,29
accelerate,504,504,11,54.671,29
exponential,505,505,11,54.668,29
formally,506,506,11,54.634,29
socially,507,507,11,54.632,29
accurately,508,508,11,54.63,29
influential,509,509,11,54.616,29
progression,510,510,11,54.61,29
essence,511,511,11,54.607,29
cylinder,512,512,11,54.606,29
scholarship,513,513,11,54.601,29
sodium,514,514,11,54.597,29
predominantly,515,515,11,54.591,29
oscillation,516,516,11,54.585,29
impulse,517,516,11,54.585,29
theorist,518,518,11,54.58,29
manipulate,519,519,11,54.561,29
alliance,520,520,11,54.553,29
crystal,521,521,11,54.546,28
importantly,522,522,11,54.544,28
stack,523,523,11,54.519,28
drift,524,524,11,54.515,28
nest,525,525,11,54.507,28
fossil,526,526,11,54.503,28
resistant,527,527,11,54.502,28
dimensional,528,527,11,54.502,28
punishment,529,529,11,54.498,28
rhetoric,530,530,11,54.488,28
artifact,531,531,11,54.477,28
carrier,532,532,11,54.47,28
surgical,533,533,11,54.461,28
coordination,534,534,11,54.455,28
turbulent,535,535,11,54.437,28
quantum,536,536,11,54.436,28
sediment,537,537,11,54.403,28
ray,538,538,11,54.371,27
conserve,539,539,11,54.358,27
primer,540,540,11,54.348,27
grasp,541,541,11,54.345,27
bulk,542,542,11,54.327,27
terminology,543,543,11,54.32,27
vegetation,544,544,11,54.315,27
triangle,545,545,11,54.284,27
traditionally,546,546,11,54.283,27
execute,547,547,11,54.26,27
intensive,548,548,11,54.231,26
reconstruct,549,549,11,54.215,26
broadly,550,550,11,54.209,26
metabolism,551,551,12,54.205,26
revolutionary,552,552,12,54.203,26
merge,553,553,12,54.192,26
dilemma,554,554,12,54.174,26
motif,555,555,12,54.158,26
motive,556,556,12,54.153,26
subtle,557,557,12,54.148,26
clinic,558,558,12,54.145,26
allocate,559,559,12,54.143,26
hydrogen,560,560,12,54.123,26
dissertation,561,561,12,54.116,26
susceptible,562,562,12,54.112,26
architect,563,563,12,54.109,26
coronary,564,564,12,54.101,26
breakdown,565,565,12,54.084,26
inject,566,566,12,54.077,26
economist,567,567,12,54.069,26
momentum,568,568,12,54.043,25
polar,569,569,12,54.032,25
backward,570,570,12,54.031,25
multiply,571,571,12,54.019,25
morality,572,572,12,54.008,25
communicative,573,573,12,54.003,25
physically,574,574,12,53.993,25
rainfall,575,575,12,53.988,25
politically,576,576,12,53.986,25
invasion,577,577,12,53.966,25
inevitably,578,578,12,53.959,25
capitalism,579,579,12,53.954,25
expertise,580,580,12,53.944,25
inferior,581,581,12,53.928,25
actively,582,582,12,53.924,25
quotation,583,583,12,53.914,25
composite,584,584,12,53.91,25
historically,585,585,12,53.895,25
textbook,586,586,12,53.886,24
bundle,587,587,12,53.882,24
elementary,588,588,12,53.881,24
capitalist,589,589,12,53.876,24
flexibility,590,590,12,53.873,24
cord,591,591,12,53.838,24
realistic,592,592,12,53.836,24
initiation,593,592,12,53.836,24
horizon,594,594,12,53.834,24
consultation,595,595,12,53.832,24
ruler,596,596,12,53.831,24
freely,597,597,12,53.817,24
rotate,598,598,12,53.812,24
commodity,599,599,12,53.805,24
elevation,600,600,12,53.792,24
intervene,601,601,13,53.781,24
compensate,602,602,13,53.779,24
atomic,603,603,13,53.775,24
trivial,604,604,13,53.767,24
stance,605,605,13,53.756,24
stabilize,606,606,13,53.738,24
profound,607,607,13,53.723,24
whereby,608,608,13,53.717,24
ancestor,609,609,13,53.712,24
genetics,610,610,13,53.705,23
proton,611,611,13,53.672,23
phosphate,612,612,13,53.639,23
gravity,613,613,13,53.636,23
pole,614,614,13,53.63,23
puzzle,615,615,13,53.621,23
respiratory,616,616,13,53.617,23
elimination,617,617,13,53.61,23
exit,618,618,13,53.608,23
corruption,619,619,13,53.582,23
circulate,620,620,13,53.573,23
obscure,621,621,13,53.555,23
contradict,622,622,13,53.531,23
interfere,623,623,13,53.514,22
trauma,624,624,13,53.505,22
upward,625,625,13,53.504,22
gross,626,626,13,53.493,22
optical,627,627,13,53.472,22
communist,628,628,13,53.467,22
continent,629,629,13,53.458,22
physics,630,630,13,53.44,22
viable,631,631,13,53.435,22
limb,632,632,13,53.429,22
retrieve,633,633,13,53.413,22
presume,634,634,13,53.406,22
rationality,635,635,13,53.385,22
stereotype,636,636,13,53.371,22
slavery,637,637,13,53.344,22
artistic,638,638,13,53.283,21
faculty,639,639,13,53.282,21
anthropology,640,639,13,53.282,21
antibiotic,641,641,13,53.276,21
portray,642,642,13,53.275,21
sexuality,643,643,13,53.225,21
chemistry,644,643,13,53.225,21
axiom,645,645,13,53.221,21
pest,646,646,13,53.215,21
fracture,647,647,13,53.209,21
transplant,648,648,13,53.206,21
goods,649,649,13,53.194,21
shortly,650,650,13,53.155,21
epidemic,651,651,14,53.131,21
inversion,652,652,14,53.107,20
irrelevant,653,653,14,53.103,20
mechanic,654,654,14,53.094,20
epidemiology,655,655,14,53.092,20
dissolve,656,656,14,53.089,20
fatigue,657,657,14,53.04,20
nonetheless,658,658,14,53.026,20
bargain,659,659,14,52.994,20
infectious,660,660,14,52.98,20
individually,661,661,14,52.951,20
psychologist,662,662,14,52.95,20
trans,663,663,14,52.946,20
irrigation,664,664,14,52.903,20
diary,665,665,14,52.865,19
treaty,666,666,14,52.86,19
rehabilitation,667,667,14,52.856,19
illusion,668,668,14,52.847,19
bat,669,669,14,52.83,19
optimum,670,670,14,52.828,19
fever,671,671,14,52.821,19
paradox,672,672,14,52.818,19
kidney,673,673,14,52.784,19
predator,674,674,14,52.749,19
migrate,675,675,14,52.697,19
infinity,676,676,14,52.696,19
shallow,677,677,14,52.691,19
fundamentally,678,678,14,52.651,18
synthetic,679,679,14,52.608,18
solar,680,680,14,52.604,18
hepatitis,681,681,14,52.6,18
ton,682,682,14,52.591,18
bubble,683,683,14,52.573,18
bracket,684,684,14,52.56,18
elasticity,685,685,14,52.537,18
cure,686,686,14,52.528,18
contradictory,687,687,14,52.518,18
sensation,688,688,14,52.51,18
sustainable,689,689,14,52.488,18
elastic,690,690,14,52.487,18
machinery,691,691,14,52.466,18
dictate,692,692,14,52.435,18
vitamin,693,693,14,52.428,17
incline,694,694,14,52.424,17
leisure,695,695,14,52.396,17
enforcement,696,696,14,52.394,17
prey,697,697,14,52.389,17
cyclic,698,697,14,52.389,17
clue,699,699,14,52.362,17
friction,700,700,14,52.36,17
parenthesis,701,701,15,52.347,17
noble,702,702,15,52.34,17
potassium,703,703,15,52.332,17
reactive,704,704,15,52.33,17
genetically,705,705,15,52.314,17
bacteria,706,706,15,52.311,17
wisdom,707,707,15,52.306,17
crude,708,708,15,52.289,17
realism,709,709,15,52.282,17
deliberately,710,710,15,52.25,17
chemotherapy,711,711,15,52.248,17
surplus,712,712,15,52.24,17
capillary,713,713,15,52.236,17
directive,714,714,15,52.227,17
globalization,715,715,15,52.189,17
alien,716,716,15,52.156,16
portfolio,717,717,15,52.133,16
monopoly,718,718,15,52.128,16
lifestyle,719,719,15,52.098,16
invert,720,720,15,52.083,16
thread,721,721,15,52.077,16
clay,722,722,15,52.029,16
dye,723,723,15,52.027,16
transcribe,724,724,15,52.012,16
dilute,725,725,15,52.011,16
tribe,726,726,15,51.989,16
damp,727,727,15,51.978,16
economically,728,728,15,51.967,16
critically,729,729,15,51.896,15
secrete,730,730,15,51.868,15
hip,731,731,15,51.859,15
plantation,732,732,15,51.848,15
prejudice,733,733,15,51.8,15
onwards,734,734,15,51.795,15
anti,735,735,15,51.771,15
helix,736,736,15,51.735,15
interrupt,737,737,15,51.719,15
domination,738,738,15,51.657,15
undergraduate,739,739,15,51.633,15
soluble,740,740,15,51.627,15
innate,741,741,15,51.607,14
dioxide,742,742,15,51.598,14
goat,743,743,15,51.538,14
emit,744,744,15,51.536,14
confound,745,745,15,51.531,14
competent,746,746,15,51.528,14
degrade,747,747,15,51.515,14
layout,748,748,15,51.506,14
fabric,749,749,15,51.498,14
container,750,750,15,51.495,14
fungus,751,751,16,51.493,14
reservoir,752,752,16,51.49,14
footnote,753,753,16,51.484,14
bodily,754,754,16,51.446,14
niche,755,755,16,51.415,14
vague,756,756,16,51.407,14
affirm,757,757,16,51.347,14
urine,758,758,16,51.297,13
afterward,759,759,16,51.275,13
jazz,760,760,16,51.263,13
antiquity,761,761,16,51.252,13
unemployed,762,762,16,51.242,13
toxic,763,763,16,51.236,13
yeast,764,764,16,51.228,13
punish,765,765,16,51.174,13
forum,766,766,16,51.173,13
bleed,767,767,16,51.17,13
overhead,768,768,16,51.165,13
republic,769,769,16,51.139,13
processor,770,770,16,51.123,13
goodness,771,771,16,51.122,13
comply,772,772,16,51.017,13
audit,773,772,16,51.017,13
legend,774,774,16,51.016,13
slot,775,775,16,50.941,12
drain,776,776,16,50.892,12
abdominal,777,777,16,50.888,12
media,778,778,16,50.882,12
tempt,779,779,16,50.881,12
outlet,780,780,16,50.88,12
precipitation,781,781,16,50.865,12
founds,782,782,16,50.854,12
invade,783,783,16,50.843,12
interviewer,784,784,16,50.812,12
apple,785,785,16,50.807,12
planner,786,786,16,50.802,12
supposedly,787,787,16,50.778,12
gut,788,788,16,50.773,12
swell,789,789,16,50.746,12
emperor,790,790,16,50.699,12
altitude,791,791,16,50.681,12
gauge,792,792,16,50.665,12
transparency,793,793,16,50.636,12
sub,794,794,16,50.634,12
blank,795,795,16,50.569,11
chloride,796,796,16,50.526,11
sensible,797,797,16,50.508,11
weave,798,798,16,50.467,11
destination,799,799,16,50.462,11
precipitate,800,800,16,50.42,11
painful,801,801,17,50.411,11
industrialization,802,802,17,50.403,11
lab,803,803,17,50.397,11
seminar,804,804,17,50.37,11
minus,805,805,17,50.361,11
conduction,806,806,17,50.328,11
audio,807,807,17,50.308,11
subtract,808,808,17,50.296,11
facet,809,809,17,50.286,11
splice,810,810,17,50.174,10
incumbent,811,811,17,50.169,10
biodiversity,812,812,17,50.153,10
chunk,813,813,17,50.02,10
credibility,814,814,17,49.993,10
tutor,815,815,17,49.932,10
super,816,816,17,49.916,10
fin,817,817,17,49.87,10
aluminum,818,818,17,49.867,10
gram,819,819,17,49.85,10
liable,820,820,17,49.828,10
marble,821,821,17,49.802,10
pesticide,822,822,17,49.732,9
technically,823,823,17,49.646,9
criteria,824,824,17,49.642,9
fringe,825,825,17,49.598,9
messenger,826,826,17,49.576,9
biologist,827,827,17,49.565,9
connotation,828,828,17,49.558,9
delta,829,829,17,49.534,9
tremendous,830,830,17,49.486,9
snake,831,831,17,49.471,9
flesh,832,832,17,49.42,9
ghost,833,833,17,49.342,9
marrow,834,834,17,49.339,9
surgeon,835,835,17,49.328,9
instinct,836,836,17,49.319,9
industrialize,837,837,17,49.284,8
denominator,838,838,17,49.23,8
stripe,839,839,17,49.188,8
junior,840,840,17,49.179,8
solvent,841,841,17,49.177,8
kilometer,842,842,17,49.137,8
slab,843,843,17,49.101,8
click,844,844,17,49.004,8
hedge,845,845,17,48.823,8
spray,846,846,17,48.819,8
cinema,847,847,17,48.811,8
plug,848,848,17,48.755,8
naked,849,849,17,48.731,7
indifference,850,850,17,48.72,7
erase,851,851,18,48.677,7
powder,852,852,18,48.592,7
micro,853,853,18,48.505,7
clip,854,854,18,48.398,7
solute,855,855,18,48.377,7
dissection,856,856,18,48.318,7
censor,857,857,18,48.281,7
portrayal,858,858,18,48.265,7
statistics,859,859,18,48.058,6
thumb,860,860,18,48.036,6
acidic,861,861,18,48.035,6
uplift,862,862,18,48.006,6
flip,863,863,18,48.002,6
congruent,864,864,18,47.982,6
parcel,865,865,18,47.921,6
lecturer,866,866,18,47.917,6
skip,867,867,18,47.907,6
poster,868,868,18,47.885,6
sword,869,869,18,47.832,6
photographic,870,870,18,47.808,6
auction,871,871,18,47.752,6
barrel,872,872,18,47.735,6
mentor,873,873,18,47.731,6
nicely,874,874,18,47.725,6
lump,875,875,18,47.72,6
quiz,876,876,18,47.681,6
watershed,877,877,18,47.662,6
liter,878,878,18,47.433,6
oxidize,879,879,18,47.402,5
mercury,880,880,18,47.366,5
noisy,881,881,18,47.358,5
headquarters,882,882,18,47.357,5
phenomenal,883,883,18,47.322,5
multinational,884,884,18,47.306,5
comma,885,885,18,47.236,5
bizarre,886,886,18,47.216,5
specialty,887,887,18,47.202,5
socialize,888,888,18,47.163,5
novice,889,889,18,47.123,5
enormously,890,889,18,47.123,5
rope,891,891,18,47.082,5
campus,892,892,18,47.053,5
clever,893,893,18,47.03,5
mole,894,894,18,46.893,5
sometime,895,895,18,46.791,5
bucket,896,896,18,46.689,5
swap,897,897,18,46.674,5
recipe,898,898,18,46.646,5
airplane,899,899,18,46.596,5
deflection,900,900,18,46.573,5
deceive,901,901,19,46.559,5
syllabus,902,902,19,46.543,5
neat,903,903,19,46.535,5
factorial,904,904,19,46.511,4
lever,905,905,19,46.508,4
descriptor,906,906,19,46.495,4
semester,907,907,19,46.324,4
underneath,908,908,19,46.213,4
reactor,909,909,19,46.161,4
herbicide,910,910,19,46.057,4
bonus,911,911,19,46.047,4
cheat,912,912,19,46.023,4
missile,913,913,19,45.967,4
rub,914,914,19,45.945,4
radar,915,915,19,45.872,4
memorize,916,916,19,45.828,4
scripture,917,917,19,45.819,4
whoever,918,918,19,45.733,4
whichever,919,919,19,45.489,4
bullet,920,920,19,45.326,3
punch,921,921,19,45.325,3
postgraduate,922,922,19,45.287,3
artwork,923,923,19,45.22,3
pardon,924,924,19,45.047,3
millimeter,925,925,19,44.916,3
incredible,926,926,19,44.861,3
halfway,927,927,19,44.848,3
deadline,928,928,19,44.808,3
bang,929,929,19,44.77,3
semi,930,930,19,44.497,3
slash,931,931,19,44.465,3
ridiculous,932,932,19,44.415,3
multi,933,933,19,44.385,3
homework,934,933,19,44.385,3
volition,935,935,19,44.333,3
tricky,936,936,19,43.896,2
cheer,937,937,19,43.81,2
shuttle,938,938,19,43.767,2
aerosol,939,939,19,43.708,2
athletic,940,940,19,43.62,2
chess,941,941,19,43.564,2
terribly,942,942,19,43.525,2
unintelligible,943,943,19,43.512,2
circa,944,944,19,43.488,2
scroll,945,945,19,43.465,2
sponsorship,946,946,19,43.286,2
connector,947,947,19,43.196,2
nasty,948,948,19,43.172,2
incredibly,949,949,19,43.128,2
neo,950,950,19,43.106,2
entrant,951,951,19,42.98,2
hawk,952,952,19,42.937,2
handout,953,953,19,42.85,2
tech,954,954,19,42.591,2
rack,955,955,19,42.423,2
applause,956,956,19,42.343,2
demonstrator,957,957,19,42.26,2
calculator,958,958,19,41.841,2
mall,959,959,19,41.244,1
sneeze,960,960,19,40.815,1
sniff,961,961,19,40.694,1
stadium,962,962,19,40.67,1
descendent,963,963,19,38.92,1
